id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
beta_last_30_days_spy,"The rolling beta value of the security relative to SPY, calculated via regression over the last 30 calendar days, representing market sensitivity","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,590,1387,[]
beta_last_360_days_spy,"The rolling beta value of the security relative to SPY, calculated via regression over the last 360 calendar days, representing market sensitivity","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,683,1299,[]
beta_last_60_days_spy,"The rolling beta value of the security relative to SPY, calculated via regression over the last 60 calendar days, representing market sensitivity","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,755,1637,[]
beta_last_90_days_spy,"The rolling beta value of the security relative to SPY, calculated via regression over the last 90 calendar days, representing market sensitivity","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,512,1364,[]
correlation_last_30_days_spy,"The Pearson correlation coefficient of daily log returns between the security and SPY, calculated over the most recent 30 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,461,1072,[]
correlation_last_360_days_spy,"The Pearson correlation coefficient of daily log returns between the security and SPY, calculated over the most recent 360 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,660,1243,[]
correlation_last_60_days_spy,"The Pearson correlation coefficient of daily log returns between the security and SPY, calculated over the most recent 60 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,912,1613,[]
correlation_last_90_days_spy,"The Pearson correlation coefficient of daily log returns between the security and SPY, calculated over the most recent 90 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,448,937,[]
systematic_risk_last_30_days,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 30 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,428,870,[]
systematic_risk_last_360_days,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 360 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,733,1237,[]
systematic_risk_last_60_days,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 60 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,707,1235,[]
systematic_risk_last_90_days,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 90 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7736,1039,1893,[]
unsystematic_risk_last_30_days,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 30 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,496,1264,[]
unsystematic_risk_last_360_days,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 360 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,2568,9422,[]
unsystematic_risk_last_60_days,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 60 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,804,1858,[]
unsystematic_risk_last_90_days,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 90 calendar days","{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7736,1578,3390,[]
